stock_code,stock_symbol,company_name,url,sector
5115,ALAM ,ALAM MARITIM RESOURCES BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=ALAM,Energy
5210,ARMADA ,BUMI ARMADA BERHAD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=ARMADA,Energy
7251,BARAKAH ,BARAKAH OFFSHORE PETROLEUM BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=BARAKAH,Energy
5257,CARIMIN ,CARIMIN PETROLEUM BERHAD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=CARIMIN,Energy
5071,COASTAL ,COASTAL CONTRACTS BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=COASTAL,Energy
0091,DAYA ,DAYA MATERIALS BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=DAYA,Energy
5141,DAYANG ,DAYANG ENTERPRISE HOLDINGS BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=DAYANG,Energy
5132,DELEUM ,DELEUM BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=DELEUM,Energy
7277,DIALOG ,DIALOG GROUP BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=DIALOG,Energy
7253,HANDAL ,HANDAL RESOURCES BERHAD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=HANDAL,Energy
4324,HENGYUAN ,HENGYUAN REFINING COMPANY BERHAD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=HENGYUAN,Energy
5199,HIBISCS ,HIBISCUS PETROLEUM BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=HIBISCS,Energy
5199WC,HIBISCS-WC ,HIBISCUS PETROLEUM BERHAD - WARRANTS 2018/2021,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=HIBISCS-WC,Energy
2739,HUAAN ,SINO HUA-AN INTERNATIONAL BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=HUAAN,Energy
5255,ICON ,ICON OFFSHORE BERHAD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=ICON,Energy
7164,KNM ,KNM GROUP BHD,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=KNM,Energy
7164WB,KNM-WB ,KNM GROUP BERHAD - WARRANTS 2015/2020,https://www.thestar.com.my/Business/Marketwatch/Stocks?qcounter=KNM-WB,Energy
