financial_id,stock_code,date_announced,financial_year_end,quarter,period_end,revenue,profit_loss,eps
1,5115,2019-02-28,2018-12-31,4,2018-12-31,31495,-131886,-14.3
2,5115,2018-11-30,2018-12-31,3,2018-09-30,21413,-21436,-2.3
3,5115,2018-08-30,2018-12-31,2,2018-06-30,18896,-9331,-1
4,5115,2018-05-24,2018-12-31,1,2018-03-31,21437,-8953,-1.2
5,5115,2018-02-28,2017-12-31,4,2017-12-31,43148,-125801,-13.7
6,5210,2018-11-23,2018-12-31,3,2018-09-30,588047,-513365,-8.56
7,5210,2018-08-29,2018-12-31,2,2018-06-30,654042,-592209,-9.97
8,5210,2018-05-31,2018-12-31,1,2018-03-31,600342,48714,0.83
9,5210,2018-02-26,2017-12-31,4,2017-12-31,662147,77900,1.09
10,5210,2017-11-23,2017-12-31,3,2017-09-30,641391,124375,2.11
11,7251,2019-02-28,2019-06-30,2,2018-12-31,70252,-21096,-2.55
12,7251,2018-11-29,2018-12-31,3,2018-09-30,94456,-5089,-0.61
13,7251,2018-08-29,2018-08-29,4,2018-08-29,0,0,0
14,7251,2018-05-30,2018-12-31,1,2018-03-31,19381,-19927,-2.41
15,7251,2018-02-27,2017-12-31,4,2017-12-31,78679,-73851,-8.94
16,5257,2019-02-21,2019-06-30,2,2018-12-31,96255,5215,2.25
17,5257,2018-11-29,2019-06-30,1,2018-09-30,84087,11529,5.01
18,5257,2018-08-21,2018-06-30,4,2018-06-30,46930,-15994,-6.82
19,5257,2018-02-23,2018-06-30,2,2017-12-31,40253,-3639,-1.54
20,5257,2017-11-27,2018-06-30,1,2017-09-30,24734,-183,-0.12
21,5071,2019-02-26,2019-06-30,2,2018-12-31,37726,9831,1.86
22,5071,2018-11-26,2019-06-30,1,2018-09-30,37126,17096,3.24
23,5071,2018-08-30,2018-06-30,4,2018-06-30,33888,-565714,-107.27
24,5071,2018-05-24,2018-06-30,3,2018-03-31,33094,-9750,-1.85
25,5071,2018-02-27,2018-06-30,2,2017-12-31,44297,-463,-0.09
26,0091,2019-02-28,2018-12-31,4,2018-12-31,57745,-125939,-5.75
27,0091,2018-11-30,2018-12-31,3,2018-09-30,62104,-30134,-1.18
28,0091,2018-08-29,2018-12-31,2,2018-06-30,80403,-16385,-0.78
29,0091,2018-05-31,2018-12-31,1,2018-03-31,90415,2056,-0.04
30,0091,2018-02-28,2017-12-31,4,2017-12-31,116864,-42363,-2.08
31,5141,2019-02-22,2018-12-31,4,2018-12-31,285648,101327,10.13
32,5141,2018-11-23,2018-12-31,3,2018-09-30,281933,51335,5.05
33,5141,2018-08-24,2018-12-31,2,2018-06-30,221278,43041,4.03
34,5141,2018-05-24,2018-12-31,1,2018-03-31,148782,-47649,-2.21
35,5141,2018-02-23,2017-12-31,4,2017-12-31,173755,-59708,-5.62
36,5132,2019-02-25,2018-12-31,4,2018-12-31,200447,7801,1.87
37,5132,2018-11-19,2018-12-31,3,2018-09-30,175437,11017,2.28
38,5132,2018-08-21,2018-12-31,2,2018-06-30,139294,9644,2.29
39,5132,2018-02-26,2017-12-31,4,2017-12-31,169849,15818,3.36
40,5132,2017-11-21,2017-12-31,3,2017-09-30,167785,13709,2.7
41,7277,2019-02-14,2019-06-30,2,2018-12-31,609613,140267,2.43
42,7277,2018-11-12,2019-06-30,1,2018-09-30,690892,118076,2.03
43,7277,2018-08-16,2018-06-30,4,2018-06-30,607126,121476,2.04
44,7277,2018-05-16,2018-06-30,3,2018-03-31,867371,122368,2.11
45,7277,2018-02-14,2018-06-30,2,2017-12-31,857426,120241,2.05
46,4324,2019-02-27,2018-12-31,4,2018-12-31,2513364,-72,-0.02
47,4324,2018-11-28,2018-12-31,3,2018-09-30,2067137,-122492,-40.83
48,4324,2018-08-30,2018-12-31,2,2018-06-30,3599952,66598,22.2
49,4324,2018-02-27,2017-12-31,4,2017-12-31,3092105,183553,61.18
50,4324,2017-11-30,2017-12-31,3,2017-09-30,2961824,361776,120.59
51,5199,2019-02-19,2019-06-30,2,2018-12-31,165158,50105,3.15
52,5199,2018-11-27,2019-06-30,1,2018-09-30,359955,100001,6.3
53,5199,2018-08-29,2018-06-30,4,2018-06-30,184627,98751,6.22
54,5199,2018-05-28,2018-06-30,3,2018-03-31,75420,83135,5.26
55,5199,2018-02-21,2018-06-30,2,2017-12-31,76061,11042,0.72
56,2739,2019-02-28,2018-12-31,4,2018-12-31,251708,14803,1.32
57,2739,2018-07-27,2018-12-31,2,2018-06-30,240334,2534,0.23
58,2739,2018-05-28,2018-12-31,1,2018-03-31,265520,5549,0.49
59,2739,2018-02-27,2017-12-31,4,2017-12-31,276679,25685,2.29
60,2739,2017-10-30,2017-12-31,3,2017-09-30,269297,34147,3.04
61,5255,2019-02-27,2018-12-31,4,2018-12-31,46767,-416560,-35.26
62,5255,2018-11-26,2018-12-31,3,2018-09-30,51736,-10102,-1
63,5255,2018-08-29,2018-12-31,2,2018-06-30,53185,-3577,-0.4
64,5255,2018-05-24,2018-12-31,1,2018-03-31,48059,-7560,-0.73
65,5255,2018-02-27,2017-12-31,4,2017-12-31,50156,-45938,-3.98
66,7164,2019-02-27,2018-12-31,4,2018-12-31,369120,-712485,-30.08
67,7164,2018-11-28,2018-12-31,3,2018-09-30,350738,-18771,-0.73
68,7164,2018-08-30,2018-12-31,2,2018-06-30,376753,-34616,-1.43
69,7164,2018-02-26,2017-12-31,4,2017-12-31,351081,-46200,-2.15
70,7164,2017-11-24,2017-12-31,3,2017-09-30,347522,1969,0.06
71,5186,2019-02-22,2018-12-31,4,2018-12-31,273238,-25830,-1.6
72,5186,2019-02-13,2018-12-31,4,2018-12-31,273238,-25830,-1.6
73,5186,2018-10-25,2018-12-31,3,2018-09-30,289802,-22851,-1.42
74,5186,2018-08-01,2018-12-31,2,2018-06-30,223039,-49806,-3.09
75,5186,2018-05-04,2018-12-31,1,2018-03-31,188275,-25676,-1.6
76,5133,2019-02-22,2018-12-31,4,2018-12-31,191832,20884,6.51
77,5133,2018-11-26,2018-12-31,3,2018-09-30,119735,-26966,-8.4
78,5133,2018-08-30,2018-12-31,2,2018-06-30,88352,-15931,-4.96
79,5133,2018-05-24,2018-12-31,1,2018-03-31,67505,1019,0.32
80,5133,2018-02-23,2017-12-31,4,2017-12-31,120812,-46912,-14.62
81,7108,2019-02-21,2018-12-31,4,2018-12-31,64076,9115,1.17
82,7108,2018-11-22,2018-12-31,3,2018-09-30,61214,6533,0.84
83,7108,2018-08-24,2018-12-31,2,2018-06-30,47587,10097,1.3
84,7108,2018-02-22,2017-12-31,4,2017-12-31,33927,-39548,-5.08
85,7108,2017-11-20,2017-12-31,3,2017-09-30,49754,-18853,-2.42
86,0047,2019-02-27,2019-06-30,2,2018-12-31,32472,-26361,-1.97
87,0047,2018-11-29,2019-06-30,1,2018-09-30,32348,-22411,-1.58
88,0047,2018-08-28,2018-06-30,4,2018-06-30,30231,-218153,-16.7
89,0047,2018-05-25,2018-06-30,3,2018-03-31,29361,-246276,-19.4
90,0047,2018-02-27,2018-06-30,2,2017-12-31,27697,38911,3.23
91,3042,2019-02-21,2018-12-31,4,2018-12-31,2894220,-25545,-9.5
92,3042,2018-11-15,2018-12-31,3,2018-09-30,3300151,85538,31.7
93,3042,2018-08-29,2018-12-31,2,2018-06-30,3126523,92423,34.2
94,3042,2018-05-24,2018-12-31,1,2018-03-31,2726875,72124,26.7
95,3042,2018-02-22,2017-12-31,4,2017-12-31,2830877,99566,36.9
96,5256,2019-02-28,2018-12-31,4,2018-12-31,69297,-19782,-0.03
97,5256,2018-11-30,2018-12-31,3,2018-09-30,40836,-18287,-0.01
98,5256,2018-08-27,2018-12-31,2,2018-06-30,67670,4582,0.01
99,5256,2018-05-25,2018-12-31,1,2018-03-31,42481,-27281,-0.02
100,5256,2018-02-28,2017-12-31,4,2017-12-31,49647,-100342,-0.05
101,5218,2018-12-06,2019-01-31,3,2018-10-31,1502229,-31653,-0.52
102,5218,2018-09-28,2019-01-31,2,2018-07-31,1259703,-125952,-2.12
103,5218,2018-06-29,2019-01-31,1,2018-04-30,1054945,-136544,-2.28
104,5218,2018-03-28,2018-01-31,4,2018-01-31,1189245,-2286396,-38.44
105,5218,2017-12-07,2018-01-31,3,2017-10-31,1279973,-275221,-4.62
106,7158,2019-02-28,2019-03-31,3,2018-12-31,134181,-19789,-2.01
107,7158,2018-11-30,2019-03-31,2,2018-09-30,142887,-27805,-2.55
108,7158,2018-08-30,2019-03-31,1,2018-06-30,144781,-25636,-2.34
109,7158,2018-05-31,2018-03-31,4,2018-03-31,132123,-198377,-14.45
110,7158,2018-02-28,2018-03-31,3,2017-12-31,184085,-63340,-2.54
111,7045,2019-02-25,2019-03-31,3,2018-12-31,134181,2883,0.04
112,7045,2018-11-30,2019-03-31,2,2018-09-30,134269,1038,0.06
113,7045,2018-08-24,2019-03-31,1,2018-06-30,124891,312,0.02
114,7045,2018-08-23,2019-03-31,1,2018-06-30,124891,312,0.02
115,7045,2018-05-31,2018-03-31,4,2018-03-31,199915,-158281,-6.29
116,5279,2019-02-27,2018-12-31,4,2018-12-31,977998,110315,7.44
117,5279,2018-11-27,2018-12-31,3,2018-09-30,770222,82411,5.67
118,5279,2018-08-29,2018-12-31,2,2018-06-30,804129,103808,7
119,5279,2018-02-26,2017-12-31,4,2017-12-31,797372,79302,6.03
120,5279,2017-11-21,2017-12-31,3,2017-09-30,653323,67009,5.1
121,1201,2019-03-07,2018-12-31,4,2018-12-31,0,-826,-0.02
122,1201,2018-11-30,2018-12-31,3,2018-09-30,0,-1116,-0.03
123,1201,2018-08-24,2018-12-31,2,2018-06-30,1492,-1258,-0.03
124,1201,2018-06-22,2018-12-31,1,2018-03-31,1492,457,0.01
125,1201,2018-05-31,2018-12-31,1,2018-03-31,1492,457,0.01
126,7228,2019-03-04,2018-12-31,4,2018-12-31,44874,4783,1.16
127,7228,2019-02-28,2018-12-31,4,2018-12-31,44874,4783,1.16
128,7228,2018-11-28,2018-12-31,3,2018-09-30,52743,2116,0.51
129,7228,2018-08-21,2018-12-31,2,2018-06-30,57325,2055,0.49
130,7228,2018-02-28,2017-12-31,4,2017-12-31,102740,1887,0.47
131,7206,2019-02-27,2018-12-31,4,2018-12-31,2177,3037,0.08
132,7206,2018-11-23,2018-12-31,3,2018-09-30,79,100239,8.99
133,7206,2018-08-30,2018-12-31,2,2018-06-30,143,-217631,-7.98
134,7206,2018-05-25,2018-12-31,1,2018-03-31,186,-25548,-1.32
135,7206,2018-02-27,2017-12-31,4,2017-12-31,352,-37972,-2.62
136,7250,2019-02-26,2019-06-30,2,2018-12-31,105577,8321,2.55
137,7250,2018-11-29,2019-06-30,1,2018-09-30,87526,7878,2.26
138,7250,2018-08-30,2018-06-30,4,2018-06-30,82477,4817,1.48
139,7250,2018-05-30,2018-06-30,3,2018-03-31,91932,333,-0.03
140,7250,2018-02-27,2018-06-30,2,2017-12-31,110400,7080,2.07
141,5243,2019-02-27,2018-12-31,4,2018-12-31,189261,14748,0.18
142,5243,2018-11-23,2018-12-31,3,2018-09-30,150324,-13610,-0.17
143,5243,2018-08-20,2018-12-31,2,2018-06-30,111842,-24778,-0.3
144,5142,2019-02-25,2018-12-31,4,2018-12-31,706369,-10935,-1.29
145,5142,2018-11-27,2018-12-31,3,2018-09-30,701920,24332,3.17
146,5142,2018-08-30,2018-12-31,2,2018-06-30,760010,22497,2.72
147,5142,2018-05-16,2018-12-31,1,2018-03-31,792832,23968,3.78
148,5142,2018-02-26,2017-12-31,4,2017-12-31,979204,74245,8.54
149,7293,2018-12-20,2019-01-31,3,2018-10-31,265576,51816,3.97
150,7293,2018-09-24,2019-01-31,2,2018-07-31,246544,80303,6.75
151,7293,2018-06-27,2019-01-31,1,2018-04-30,235178,60624,5.55
152,7293,2018-03-29,2018-01-31,4,2018-01-31,257394,56998,5.31
153,7293,2017-12-13,2018-01-31,3,2017-10-31,263120,91222,8.38
154,7131,2019-02-18,2019-03-31,3,2018-12-31,7585,1271,0.61
155,7131,2018-11-19,2019-03-31,2,2018-09-30,8551,1050,0.5
156,7131,2018-08-20,2019-03-31,1,2018-06-30,6136,630,0.3
157,7131,2018-07-30,2018-03-31,4,2018-03-31,7913,-132,-0.06
158,7131,2018-05-28,2018-03-31,4,2018-03-31,7913,-132,-0.06
159,1007,2019-02-27,2019-03-31,3,2018-12-31,36314,447,0.02
160,1007,2018-11-13,2019-03-31,2,2018-09-30,28767,11287,0.96
161,1007,2018-08-28,2019-03-31,1,2018-06-30,32638,5191,0.67
162,1007,2018-05-30,2018-03-31,4,2018-03-31,27837,35777,5.86
163,1007,2018-02-09,2018-03-31,3,2017-12-31,36105,75745,12.68
164,5959,2019-02-26,2018-12-31,4,2018-12-31,21305,52547,14.33
165,5959,2018-11-22,2018-12-31,3,2018-09-30,35928,15118,4.22
166,5959,2018-08-23,2018-12-31,2,2018-06-30,31990,4341,1.14
167,5959,2018-05-24,2018-12-31,1,2018-03-31,29936,4071,0.99
168,5959,2018-02-27,2017-12-31,4,2017-12-31,53927,11092,2.86
169,7007,2019-02-28,2018-12-31,4,2018-12-31,65,-2297,-4.72
170,7007,2018-11-28,2018-12-31,3,2018-09-30,227,-437,-0.9
171,7007,2018-08-21,2018-12-31,2,2018-06-30,1749,53,0.11
172,7007,2018-05-14,2018-12-31,1,2018-03-31,1591,22,0.05
173,7007,2018-02-27,2017-12-31,4,2017-12-31,2113,58,0.12
174,4057,2019-02-25,2019-03-31,3,2018-12-31,32569,2873,0.28
175,4057,2018-11-29,2019-03-31,2,2018-09-30,32148,3644,0.35
176,4057,2018-08-28,2019-03-31,1,2018-06-30,23986,4716,0.46
177,4057,2018-05-28,2018-03-31,4,2018-03-31,65782,26628,2.62
178,4057,2018-02-26,2018-03-31,3,2017-12-31,35114,10751,1
179,2305,2019-02-28,2018-12-31,4,2018-12-31,23861,8330,11.13
180,2305,2018-11-21,2018-12-31,3,2018-09-30,18118,2729,3.65
181,2305,2018-08-21,2018-12-31,2,2018-06-30,22715,6904,9.22
182,2305,2018-02-27,2017-12-31,4,2017-12-31,16109,1851,2.47
183,6602,2019-02-22,2019-06-30,2,2018-12-31,114458,9334,1.41
184,6602,2018-11-30,2019-06-30,1,2018-09-30,95504,10454,1.95
185,6602,2018-08-29,2018-06-30,4,2018-06-30,78197,34427,4.25
186,6602,2018-05-24,2018-06-30,3,2018-03-31,82584,2420,0.55
187,6602,2018-02-23,2018-06-30,2,2017-12-31,86219,5207,1.49
188,6173,2019-02-28,2018-12-31,4,2018-12-31,54126,-15600,-5.13
189,6173,2018-11-30,2018-12-31,3,2018-09-30,49261,-6399,-2.11
190,6173,2018-08-21,2018-12-31,2,2018-06-30,52981,-9457,-3.11
