share_buyback_id,stock_code,buyback_date,shares_acquired,price_range,total_amount_paid,total_treasure_share
1,5071,2015-02-26,50000.0,3.100,155200.0,450000.0
2,5071,2014-10-16,30000.0,3.490,105518.1,400000.0
3,5071,2014-10-15,80000.0,3.770,305360.0,370000.0
4,5071,2014-10-08,50000.0,4.250,213680.0,290000.0
5,5071,2014-08-25,30000.0,5.070,152657.0,240000.0
6,5071,2014-02-27,10000.0,4.320,43320.0,210000.0
7,5071,2013-08-19,30000.0,2.740,82350.0,200000.0
8,5071,2013-02-19,20000.0,2.010,40200.0,170000.0
9,0091,2015-03-03,1000.0,0.140,181.5,3000.0
10,0091,2014-09-02,1000.0,0.285,326.09,2000.0
11,0091,2014-09-02,1000.0,0.285,326.09,2000.0
12,0091,2014-04-28,1000.0,0.330,371.1,1000.0
13,0091,2013-04-24,45000.0,0.205,9293.12,15720700.0
14,0091,2012-12-31,128700.0,0.180,23504.3,15675700.0
15,0091,2012-12-26,280000.0,0.180,52178.3,15547000.0
16,0091,2012-12-24,150000.0,0.180,27786.8,15267000.0
17,5141,2011-09-26,216000.0,1.470,329140.0,300500.0
18,5141,2011-09-23,84500.0,1.490,128933.0,84500.0
19,7277,2011-08-09,40000.0,2.380,96097.0,22834971.0
20,7277,2011-07-25,50000.0,2.660,133572.0,22794971.0
21,7277,2011-01-27,50000.0,2.100,105452.0,22744971.0
22,7277,2010-12-13,238300.0,1.600,382738.0,22694971.0
23,7277,2010-12-10,800000.0,1.580,1275500.0,22456671.0
24,7277,2010-10-01,300000.0,1.120,337309.0,21656671.0
25,7277,2010-08-24,200000.0,1.080,216913.0,21356671.0
26,7277,2010-08-20,250000.0,1.090,273599.0,21156671.0
27,7253,2013-03-01,80000.0,0.390,32185.3,250000.0
28,7253,2012-11-27,20000.0,0.400,8058.4,170000.0
29,7253,2012-09-20,50000.0,0.420,21204.6,150000.0
30,7253,2012-09-06,100000.0,0.430,45107.1,100000.0
31,7164,2014-12-01,10000.0,0.485,4896.46,23291275.0
32,7164,2014-05-30,10000.0,0.755,7605.57,23281275.0
33,7164,2013-12-03,5000.0,0.420,2143.63,23271275.0
34,7164,2013-06-05,5000.0,0.510,2593.77,23266275.0
35,7164,2012-11-23,10000.0,0.480,4846.44,23261275.0
36,7164,2011-08-24,250000.0,1.420,356372.0,23241275.0
37,7164,2011-03-09,1143900.0,2.850,3271070.0,22991275.0
38,7164,2011-03-07,500000.0,2.530,1269370.0,21847375.0
39,7164WB,2014-12-01,10000.0,0.485,4896.46,23291275.0
40,7164WB,2014-05-30,10000.0,0.755,7605.57,23281275.0
41,7164WB,2013-12-03,5000.0,0.420,2143.63,23271275.0
42,7164WB,2013-06-05,5000.0,0.510,2593.77,23266275.0
43,7164WB,2012-11-23,10000.0,0.480,4846.44,23261275.0
44,7164WB,2011-08-24,250000.0,1.420,356372.0,23241275.0
45,7164WB,2011-03-09,1143900.0,2.850,3271070.0,22991275.0
46,7164WB,2011-03-07,500000.0,2.530,1269370.0,21847375.0
47,0047,2009-11-23,91500.0,0.575,52612.5,0.0
48,0047,2009-11-20,170000.0,0.575,97852.0,308500.0
49,0047,2009-11-19,138500.0,0.580,80330.0,0.0
50,7158,2007-12-11,70000.0,1.390,97300.0,14424200.0
51,7158,2007-12-11,70000.0,1.390,0.0,14424200.0
52,7158,2007-12-06,340000.0,1.420,487186.0,14354200.0
53,7158,2007-12-05,359000.0,1.350,494379.0,14014200.0
54,7158,2007-12-04,150000.0,1.330,199500.0,13655200.0
55,7158,2007-11-30,140000.0,1.400,196602.0,13505200.0
56,7158,2007-11-28,100000.0,1.420,143250.0,13365200.0
57,7158,2007-11-27,100000.0,1.390,139750.0,13265200.0
58,7158WB,2007-12-11,70000.0,1.390,97300.0,14424200.0
59,7158WB,2007-12-11,70000.0,1.390,0.0,14424200.0
60,7158WB,2007-12-06,340000.0,1.420,487186.0,14354200.0
61,7158WB,2007-12-05,359000.0,1.350,494379.0,14014200.0
62,7158WB,2007-12-04,150000.0,1.330,199500.0,13655200.0
