dividend_id,stock_code,date_announced,to_registered,paid_on,dividend,ex_dates
1,5210,2015-05-18,2015-06-15,2015-07-03,Final 1.63sen TE,2015-06-11
2,5210,2016-04-27,2016-08-01,2016-08-18,Final Single Tier 0.82sen TE,2016-07-28
3,7251,2015-05-19,2015-06-26,2015-07-10,Final Single Tier 2sen TE,2015-06-24
4,5257,2015-02-16,2015-03-06,2015-03-27,1st Interim Single Tier 1sen,2015-03-04
5,5071,2015-02-24,2015-03-12,2015-03-27,2nd Interim Single Tier 3.8sen,2015-03-10
6,5071,2015-08-25,2015-09-11,2015-09-29,1st Interim Single Tier 2sen,2015-09-09
7,5071,2014-08-21,2014-09-09,2014-09-26,1st Interim Single Tier 3.4sen,2014-09-05
8,5071,2016-02-25,2016-03-14,2016-03-28,2nd Interim Single Tier 2sen,2016-03-10
9,5071,2017-02-27,2017-03-14,2017-03-28,1st Interim Single Tier 1sen,2017-03-10
10,5071,2017-08-30,2017-09-18,2017-10-03,2nd Interim Single Tier 1sen,2017-09-14
11,5141,2015-02-25,2015-03-18,2015-04-14,2nd Interim 3.5sen TE,2015-03-16
12,5141,2014-08-22,2014-09-12,2014-10-10,1st Interim 3.5sen TE,2014-09-10
13,5132,2015-02-24,2015-03-13,2015-03-26,2nd Interim Single Tier 5sen,2015-03-11
14,5132,2015-08-19,2014-09-10,2014-09-25,1st Interim Single Tier 2sen,2014-09-08
15,5132,2014-08-20,2014-09-10,2014-09-25,1st Interim Single Tier 2.5sen,2014-09-08
16,5132,2016-02-23,2016-03-15,2016-03-25,2nd Interim Single Tier 3.5sen,2016-03-11
17,5132,2017-02-27,2017-03-15,2017-03-28,2nd Interim Single Tier 2.25sen,2017-03-13
18,5132,2017-08-22,2017-09-11,2017-09-26,1st Interim Single Tier 1sen,2017-09-07
19,5132,2018-02-26,2018-03-15,2018-03-28,2nd Interim Single Tier 3.25sen,2018-03-13
20,5132,2018-08-21,2018-09-13,2018-09-25,1st Interim Single Tier 1.25sen,2018-09-07
21,5132,2019-02-25,2019-03-13,2019-03-22,2nd Interim Single Tier 2.25sen,2019-03-11
22,7277,2014-10-27,2014-11-28,2014-12-18,Final Single Tier 1.1sen,2014-11-26
23,7277,2015-05-12,2015-06-12,2015-06-25,Interim Single Tier 1sen,2015-06-10
24,7277,2015-10-26,2015-11-27,2015-12-17,Final 1.2sen,2015-11-25
25,7277,2016-05-18,2016-06-14,2016-06-28,Interim Single Tier 1sen,2016-06-10
26,7277,2016-10-24,2016-12-02,2016-12-20,Final Single Tier 1.2sen,2016-11-30
27,7277,2017-05-16,2017-06-14,2017-06-29,Interim 1.2sen,2017-06-09
28,7277,2018-05-16,2018-06-14,2018-06-28,Interim 1.4sen,2018-06-12
29,7277,2018-10-12,2018-11-28,2018-12-18,Final Single Tier 1.8sen,2018-11-26
30,7277,2017-10-24,2017-12-04,2017-12-20,Final Single Tier 1.45sen,2017-11-29
31,4324,2018-02-27,2018-03-20,2018-04-17,Interim Single Tier 2sen,2018-03-16
32,5186,2018-02-07,2018-02-23,2018-03-08,Interim 3sen TE,2018-02-21
33,5133,2015-02-25,2015-04-17,2015-05-15,Interim Single Tier 2sen,2015-04-15
34,5133,2015-11-26,2015-12-11,2015-12-30,Special Single Tier 6sen,2015-12-09
35,5133,2016-02-23,2016-04-20,2016-05-18,Interim 2sen + Sp Int 2sen Single Tier,2016-04-18
36,5133,2016-11-25,2016-12-14,2016-01-06,Interim Single Tier 3sen TE,2016-12-09
37,5133,2017-02-23,2017-04-20,2017-05-15,Interim Single Tier 2sen,2017-04-18
38,3042,2016-04-26,2016-06-10,2016-06-24,Final Single Tier 20sen,2016-06-08
39,3042,2018-04-26,2018-06-12,2018-06-27,Final 25sen,2018-06-08
40,3042,2017-04-27,2017-06-20,2017-06-30,Final Single Tier 22sen,2017-06-16
41,5279,2017-05-19,2017-06-02,2017-06-21,1st Interim Single Tier 2.2sen,2017-05-31
42,5279,2017-08-11,2017-08-30,2017-09-20,2nd Interim Single Tier 1.5sen,2017-08-28
43,5279,2018-02-26,2018-03-15,2018-03-30,4th Interim Single Tier 1.6sen,2018-03-13
44,5279,2018-08-29,2018-09-19,2018-09-28,2nd Interim Single Tier 2.15sen TE,2018-09-14
45,5279,2018-11-27,2018-12-13,2018-12-27,3rd Interim Single Tier 1.65sen TE,2018-12-11
46,5279,2017-11-21,2017-12-07,2017-12-20,3rd Interim Single Tier 1.5sen,2017-12-05
47,5279,2018-05-22,2018-06-13,2018-06-29,1st Interim Single Tier 1.9sen,2018-06-11
48,5279,2019-02-27,2019-03-14,2019-03-28,4th Interim Single Tier 2.3sen,2019-03-12
49,7250,2014-11-25,2014-12-10,2015-01-09,Interim Single Tier 3.78sen,2014-12-08
50,5142,2015-02-26,2015-03-16,2015-04-03,2nd Interim Single Tier 2.5sen,2015-03-12
51,5142,2014-08-25,2014-09-12,2014-10-02,1st Interim Single Tier 2.5sen,2014-09-10
52,5142,2015-08-28,2015-09-15,2015-10-06,1st Interim Single Tier 2sen,2015-09-11
53,5142,2016-02-29,2016-03-15,2016-04-05,2nd Interim Single Tier 1sen,2016-03-11
54,5142,2016-08-30,2016-09-20,2016-10-05,1st Interim Single Tier 0.5sen,2016-09-15
55,7293,2014-07-07,2014-08-15,2014-09-12,Final Single Tier 1.25sen,2014-08-13
56,7293,2015-06-17,2015-08-18,2014-09-15,Final Single Tier 1.5sen,2015-08-14
57,7293,2016-10-24,2016-11-07,2016-11-21,Special Single Tier 14.6sen,2016-11-03
58,7293,2016-05-20,2016-08-04,2016-08-29,Final Single Tier 2sen,2016-08-02
59,7293,2017-05-30,2017-07-20,2017-08-18,Final Single Tier 2sen,2017-07-18
60,7293,2018-09-24,2018-11-29,2018-12-21,Interim Single Tier 4sen,2018-11-27
61,7293,2017-09-27,2017-11-30,2017-12-22,Interim Single Tier 4sen,2017-11-28
62,7293,2018-03-29,2018-05-23,2018-06-08,Special Single Tier 4sen,2018-05-21
63,7293,2018-05-03,2018-08-02,2018-08-27,Final Single Tier 2sen,2018-07-31
64,1007,2015-08-11,2014-09-09,2014-09-23,Final Single Tier 3sen,2014-09-07
65,1007,2017-07-24,2017-09-07,2017-09-20,Final Single Tier 3sen,2017-09-05
66,1007,2018-07-27,2018-09-06,2018-09-24,Final Single Tier 4sen,2018-09-04
67,4057,2014-09-02,2014-10-17,2014-11-13,Special Single Tier 0.2sen,2014-10-15
68,4057,2015-08-28,2015-10-19,2015-11-18,First & Final Single Tier 0.3sen,2015-10-15
69,2305,2018-03-19,2018-05-07,2018-05-22,First & Final Single Tier 5sen,2018-05-03
70,2305,2019-02-28,2019-05-17,2019-06-10,First & Final Single Tier 5sen,2019-05-15
71,6602,2014-11-25,2015-01-20,2015-02-16,First & Final Single Tier 3sen,2015-01-16
72,6173,2015-03-17,2015-04-23,2015-05-20,First & Final Single Tier 3.5sen TE,2015-04-21
73,6173,2016-03-08,2016-04-14,2016-05-12,First & Final Single Tier 4sen,2016-04-12
74,6173,2017-02-22,2017-03-30,2017-04-27,First & Final 4.5sen,2017-03-28
75,3239,2014-11-07,2015-01-08,2015-01-29,Final Single Tier 2sen TE,2015-01-06
76,3239,2015-11-04,2016-01-08,2014-01-28,Final Single Tier 1sen,2016-01-06
77,6718,2015-03-31,2015-08-12,2015-08-28,Final Single Tier 5sen,2015-08-10
78,6718,2015-09-29,2015-10-30,2015-11-20,Interim Single Tier 2sen,2015-10-28
79,6718,2014-09-29,2014-10-31,2014-11-21,Interim Single Tier 7sen,2014-10-29
80,6718,2016-03-30,2016-08-12,2016-08-29,Final Single Tier 3sen,2016-08-10
81,6718,2017-03-30,2017-08-11,2017-08-29,Final Single Tier 3sen,2017-08-09
82,6718,2016-09-29,2016-10-31,2016-11-21,Interim Single Tier 2sen,2016-10-27
83,6718,2018-03-29,2018-08-10,2018-08-29,Final Single Tier 3sen,2018-08-08
84,6718,2018-09-27,2018-10-31,2018-11-22,Interim Single Tier 3sen,2018-10-29
85,6718,2017-09-28,2017-10-31,2017-11-21,Interim Single Tier 3sen,2017-10-27
86,5049,2015-03-17,2015-04-30,2015-05-12,Final Single Tier 7sen,2015-04-28
87,5049,2015-04-30,2015-05-19,2015-05-29,1st Interim Single Tier 3sen,2015-05-15
88,5049,2015-10-22,2015-11-06,2015-11-23,2nd Interim Single Tier 3sen,2015-11-04
89,5049,2014-10-21,2014-11-10,2014-11-20,Interim Single Tier 7sen,2014-11-06
90,5049,2016-10-27,2016-11-11,2016-11-25,2nd Interim Single Tier 6sen,2016-11-09
91,5049,2017-04-25,2017-05-31,2017-06-30,Final Single Tier 5sen,2017-05-29
92,5049,2018-10-26,2018-11-12,2018-11-22,1st Interim Single Tier 5sen,2018-11-08
93,5355,2014-08-29,2014-12-09,2014-12-30,First & Final Single Tier 8sen,2014-12-05
3350,5932,2015-05-25,2015-07-10,2015-07-31,Final 2sen,2015-07-08
94,5355,2015-08-27,2015-12-09,2015-12-30,First & Final Single Tier 5sen,2015-12-07
95,5355,2016-08-24,2016-12-09,2016-12-30,First & Final Single Tier 5sen,2016-12-07
96,5355,2017-08-24,2017-12-08,2017-12-29,First & Final Single Tier 5.5sen,2017-12-06
97,5355,2018-10-29,2018-12-31,2019-01-18,First & Final Single Tier 5sen,2018-12-27
98,3417,2014-08-22,2014-10-10,2014-11-05,First & Final Single Tier 3sen,2014-10-08
99,3417,2017-07-27,2017-09-28,2017-10-13,First & Final Single Tier 3sen,2017-09-26
100,8613,2018-07-06,2018-07-23,2018-08-06,1st Interim Single Tier 4.5sen,2018-07-19
101,6815,2014-10-24,2014-11-13,2014-12-12,Interim Single Tier 1.5sen,2014-11-11
102,7249,2015-04-30,2015-07-21,2015-08-20,First & Final Single Tier 0.5sen,2015-07-16
